#element,sp_num,g,Level(eV),Uncertainty(eV)
Cu,1,6,7.72133000,4.00000000E-05
Cu,1,6,7.72154000,4.00000000E-05
Cu,1,6,7.72171000,4.00000000E-05
Cu,1,6,7.72187000,4.00000000E-05
Cu,1,,7.72638000,4.00000000E-06
Cu,1,8,7.73702700,4.00000000E-06
Cu,1,6,7.80459000,6.00000000E-06
Cu,1,4,7.88349200,6.00000000E-06
Cu,1,2,7.99355300,4.00000000E-06
Cu,1,6,8.01652300,7.00000000E-06
Cu,1,4,8.09120000,1.40000000E-05
Cu,1,6,8.32463100,1.40000000E-05
Cu,1,4,8.42745600,6.00000000E-06
Cu,1,4,8.71376000,6.00000000E-05
Cu,1,2,8.80315000,1.10000000E-04
Cu,1,8,8.72067500,9.00000000E-06
Cu,1,6,8.73029000,9.00000000E-06
Cu,1,8,8.73364800,9.00000000E-06
Cu,1,6,8.74849000,9.00000000E-05
Cu,1,4,8.80657400,6.00000000E-06
Cu,1,2,9.00145000,1.40000000E-04
Cu,1,4,8.78469800,5.00000000E-06
Cu,1,2,8.94564500,1.40000000E-05
Cu,1,2,8.78474000,3.00000000E-05
Cu,1,10,8.78545800,7.00000000E-06
Cu,1,8,8.92894800,6.00000000E-06
Cu,1,6,8.79789900,6.00000000E-06
Cu,1,8,8.87900100,1.00000000E-05
Cu,1,4,8.80264500,5.00000000E-06
Cu,1,6,8.81505300,5.00000000E-06
Cu,1,4,8.93987900,1.20000000E-05
Cu,1,8,8.81872600,5.00000000E-06
Cu,1,6,8.94560700,6.00000000E-06
Cu,1,12,8.81908000,2.50000000E-05
Cu,1,10,8.92422000,1.20000000E-05
Cu,1,8,9.06358500,7.00000000E-06
Cu,1,6,9.07549100,6.00000000E-06
Cu,1,6,8.82497000,4.00000000E-06
Cu,1,2,8.91234600,1.20000000E-05
Cu,1,4,8.91784600,5.00000000E-06
Cu,1,8,8.83613400,5.00000000E-06
Cu,1,6,8.93516700,5.00000000E-06
Cu,1,4,9.06385200,7.00000000E-06
Cu,1,10,8.83890400,6.00000000E-06
Cu,1,8,8.93840400,5.00000000E-06
Cu,1,6,9.08862000,5.00000000E-06
Cu,1,4,9.09008600,5.00000000E-06
Cu,1,6,8.89531700,9.00000000E-06
Cu,1,4,8.92988000,9.00000000E-06
Cu,1,4,8.91670000,1.00000000E-04
Cu,1,2,9.01835000,1.40000000E-04
Cu,1,4,8.92050000,1.20000000E-04
Cu,1,8,9.17421700,1.20000000E-05
Cu,1,6,9.21365000,1.10000000E-05
Cu,1,4,9.30422400,1.90000000E-05
Cu,1,2,9.43078600,1.00000000E-05
Cu,1,4,9.20698000,4.00000000E-05
Cu,1,2,9.31013100,1.00000000E-05
Cu,1,8,9.21723600,1.00000000E-05
Cu,1,6,9.28945300,1.00000000E-05
Cu,1,10,9.23779100,7.00000000E-06
Cu,1,2,9.31238700,9.00000000E-06
Cu,1,4,9.33148500,7.00000000E-06
Cu,1,6,9.31992100,6.00000000E-06
Cu,1,4,9.46400200,1.60000000E-05
Cu,1,8,9.32439000,4.00000000E-05
Cu,1,10,9.34171000,3.00000000E-05
Cu,1,2,9.34670000,4.00000000E-05
Cu,1,4,9.35339000,1.90000000E-05
Cu,1,6,9.35419500,1.20000000E-05
Cu,1,6,9.36529400,1.10000000E-05
Cu,1,8,9.36983800,6.00000000E-06
Cu,1,10,9.52503000,3.00000000E-05
Cu,1,8,9.65826000,3.00000000E-05
Cu,1,4,9.52587000,3.00000000E-05
Cu,1,4,9.53600000,1.50000000E-04
Cu,1,2,9.63149000,1.50000000E-04
Cu,1,6,9.54051500,1.90000000E-05
Cu,1,4,9.66252000,5.00000000E-05
Cu,1,4,9.54170000,4.00000000E-05
Cu,1,8,9.54185200,1.60000000E-05
Cu,1,6,9.66572600,1.50000000E-05
Cu,1,12,9.54854000,4.00000000E-05
Cu,1,10,9.65265800,1.20000000E-05
Cu,1,8,9.79329000,4.00000000E-05
Cu,1,6,9.80137000,1.50000000E-05
Cu,1,6,9.55053900,1.50000000E-05
Cu,1,2,9.64779000,4.00000000E-05
Cu,1,4,9.65106600,2.00000000E-05
Cu,1,8,9.55523000,1.60000000E-05
Cu,1,6,9.65903500,1.20000000E-05
Cu,1,4,9.79518100,1.70000000E-05
Cu,1,10,9.55676300,1.90000000E-05
Cu,1,8,9.66076800,1.20000000E-05
Cu,1,6,9.80923200,1.70000000E-05
Cu,1,4,9.80952700,2.10000000E-05
Cu,1,6,9.58235000,1.50000000E-04
Cu,1,6,9.58362000,1.50000000E-04
Cu,1,6,9.62401000,1.50000000E-04
Cu,1,8,9.70315000,1.40000000E-05
Cu,1,6,9.73108500,2.00000000E-05
Cu,1,4,9.82673300,2.10000000E-05
Cu,1,2,9.95975900,2.50000000E-05
Cu,1,6,9.71413200,2.40000000E-05
Cu,1,4,9.74241700,2.20000000E-05
Cu,1,2,9.78141000,1.50000000E-04
Cu,1,2,9.78488000,1.50000000E-04
Cu,1,6,9.82797100,1.70000000E-05
Cu,1,4,9.97532000,1.00000000E-04
Cu,1,4,9.83908000,1.60000000E-04
Cu,1,4,9.87421000,6.00000000E-05
Cu,1,4,9.87504000,1.60000000E-04
Cu,1,2,9.97805000,1.60000000E-04
Cu,1,12,9.87756000,1.10000000E-04
Cu,1,10,9.98142000,9.00000000E-05
Cu,1,6,9.87849000,9.00000000E-05
Cu,1,8,9.88085000,9.00000000E-05
Cu,1,6,9.98597000,7.00000000E-05
Cu,1,10,9.88149000,7.00000000E-05
Cu,1,8,9.98813000,4.00000000E-05
Cu,1,6,9.89380000,1.60000000E-04
Cu,1,8,9.95819000,4.00000000E-05
Cu,1,6,9.97138000,1.60000000E-04
Cu,1,8,9.98737000,4.00000000E-05
Cu,1,6,9.98992000,1.20000000E-04
Cu,1,4,9.99145000,6.00000000E-05
Cu,1,4,10.03579000,1.60000000E-04
Cu,1,2,10.11876000,2.40000000E-04
Cu,1,4,10.05321000,1.60000000E-04
Cu,1,2,10.16497000,1.60000000E-04
Cu,1,6,10.06292000,1.60000000E-04
Cu,1,6,10.07899000,3.00000000E-05
Cu,1,4,10.08162900,1.70000000E-05
Cu,1,6,10.08764000,5.00000000E-05
Cu,1,8,10.08936400,2.20000000E-05
Cu,1,2,10.11876000,2.40000000E-04
Cu,1,2,10.12240000,1.60000000E-04
Cu,1,4,10.15107000,1.60000000E-04
Cu,1,4,10.15190000,1.60000000E-04
Cu,1,4,10.16306000,1.60000000E-04
Cu,1,2,10.26759000,1.70000000E-04
Cu,1,6,10.17716000,1.60000000E-04
Cu,1,6,10.18217000,1.60000000E-04
Cu,1,4,10.22651000,1.70000000E-04
Cu,1,6,10.23064000,1.70000000E-04
Cu,1,4,10.27405000,1.70000000E-04
Cu,1,6,10.27567000,1.70000000E-04
Cu,1,6,10.27865000,1.70000000E-04
Cu,1,4,10.30436000,1.70000000E-04
Cu,1,6,10.30837000,5.00000000E-05
Cu,1,4,10.31997000,1.70000000E-04
Cu,1,4,10.32995000,1.70000000E-04
Cu,1,6,10.33201000,1.70000000E-04
Cu,1,2,10.33805000,1.70000000E-04
Cu,1,6,10.34461000,1.70000000E-04
Cu,1,4,10.34901000,1.70000000E-04
Cu,1,6,10.34995000,1.70000000E-04
