# element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,
Cu,2,557.84337,1.0e+07,D+,16.95184535,19.1737913,11,13,,
Cu,2,558.43413,9.e+06,D+,17.21137034,19.4309657,7,9,,
Cu,2,559.25272,9.e+06,D+,16.95674247,19.1730890,9,11,,
Cu,2,560.72823,8.e+06,D+,17.21928405,19.4297986,9,11,,
Cu,2,566.74344,5.8e+06,D+,16.9901471,19.1772002,7,9,,
Cu,2,567.03245,7.4e+06,D+,16.99134811,19.1772865,9,11,,
Cu,1,570.0240,2.4e+05,C+,1.6422256,3.8166920,4,4,,
Cu,1,578.2126,1.65e+06,C+,1.6422256,3.7858977,4,2,,
Cu,2,582.58247,1.1e+07,D+,15.12382247,17.2514154,5,5,,
Cu,2,583.35141,7.9e+06,D+,15.12382247,17.24861095,5,7,,
Cu,2,593.75815,1.0e+07,D+,15.12382247,17.21137034,5,7,,
Cu,2,594.11951,3.6e+07,D+,14.88955782,16.97583600,5,7,,
Cu,2,598.83135,9.e+07,D+,14.99211615,17.0619788,3,1,,
Cu,2,599.55876,3.0e+07,D+,15.15384714,17.2211986,1,3,,
Cu,2,600.01168,7.5e+07,D+,14.88955782,16.95534876,5,5,,
Cu,2,608.30848,6.9e+06,D+,17.1596556,19.1972712,7,9,,
Cu,2,609.73235,1.9e+07,D+,15.21855811,17.2514154,5,5,,
Cu,2,610.57469,9.e+06,D+,15.21855811,17.24861095,5,7,,
Cu,2,610.74083,3.3e+07,D+,15.15384714,17.1833477,1,3,,
Cu,2,611.44911,3.4e+07,D+,14.96299738,16.9901471,7,7,,
Cu,2,615.03813,3.6e+07,D+,14.97602760,16.99134811,9,9,,
Cu,2,615.42211,1.0e+08,D+,14.88955782,16.90362090,5,3,,
Cu,2,617.20339,3.4e+07,D+,14.98671572,16.99496619,5,5,,
Cu,2,618.68803,3.6e+07,D+,14.98671572,16.9901471,5,7,,
Cu,2,618.86761,3.1e+07,D+,14.99211615,16.99496619,3,5,,
Cu,2,619.80890,9.e+06,D+,14.97602760,16.97583600,9,7,,
Cu,2,620.42577,4.9e+07,D+,15.23365834,17.2314784,3,5,,
Cu,2,620.84549,2.9e+07,D+,15.25214151,17.24861095,7,7,,
Cu,2,621.69385,9.4e+07,C+,14.96299738,16.95674247,7,9,,
Cu,2,621.98488,9.4e+07,C+,15.21855811,17.21137034,5,7,,
Cu,2,625.78373,4.1e+06,D+,14.97602760,16.95674247,9,9,,
Cu,2,626.18464,3.7e+07,D+,15.01190137,16.99134811,7,9,,
Cu,2,627.334763,1.06e+08,C+,14.97602760,16.95184535,9,11,,
Cu,2,628.86936,1.7e+07,D+,14.98671572,16.9577120,5,3,,
Cu,2,630.10137,1.0e+08,C+,15.25214151,17.21928405,7,9,,
Cu,2,630.59718,5.7e+07,D+,14.99211615,16.9577120,3,3,,
Cu,2,631.13059,3.5e+07,D+,15.01190137,16.97583600,7,7,,
Cu,2,631.24915,5.8e+07,D+,15.2878496,17.2514154,3,5,,
Cu,2,632.64649,5.0e+06,D+,15.25214151,17.21137034,7,7,,
Cu,2,635.74193,5.5e+07,D+,15.23365834,17.1833477,3,3,,
Cu,2,637.78383,1.9e+07,D+,15.01190137,16.95534876,7,5,,
Cu,2,639.39587,3.4e+06,D+,16.84135293,18.7799005,9,11,,
Cu,2,640.33840,2.7e+07,D+,15.1776443,17.1133386,1,3,,
Cu,2,641.11518,5.8e+07,D+,15.2878496,17.2211986,3,3,,
Cu,2,641.45612,1.4e+07,D+,15.31909404,17.2514154,5,5,,
